task,priority,kickoff,id
ef a7 4,4,2024-11-12T01:06,5a710515-e933-497d-b666-8922ce0269ce
ef a7 4,4,2024-11-02T01:09,13c73063-6ea3-4efd-8122-495fe2108f59
ef a7 4,4,2024-11-09T01:09,7861d8c6-8312-44a4-874f-3d589e30e6ee
ef a7 4,4,2024-11-12T01:06,5a710515-e933-497d-b666-8922ce0269ce
ef a7 4,4,2024-11-02T01:09,13c73063-6ea3-4efd-8122-495fe2108f59
ef a7 4,4,2024-11-09T01:09,7861d8c6-8312-44a4-874f-3d589e30e6ee
ef a7 4,4,2024-11-12T01:06,5a710515-e933-497d-b666-8922ce0269ce
ef a7 4,4,2024-11-02T01:09,13c73063-6ea3-4efd-8122-495fe2108f59
ef a7 4,4,2024-11-09T01:09,7861d8c6-8312-44a4-874f-3d589e30e6ee
ef a7 4,4,2024-11-15T17:16,db915a19-63c9-4b94-b2a7-b8913a277ca9
ef a7 4,4,2024-11-12T01:06,5a710515-e933-497d-b666-8922ce0269ce
ef a7 4,4,2024-11-02T01:09,13c73063-6ea3-4efd-8122-495fe2108f59
ef a7 4,4,2024-11-09T01:09,7861d8c6-8312-44a4-874f-3d589e30e6ee
ef a7 4,4,2024-11-15T17:16,db915a19-63c9-4b94-b2a7-b8913a277ca9
ef a7 4,4,2024-11-12T01:06,5a710515-e933-497d-b666-8922ce0269ce
ef a7 4,4,2024-11-02T01:09,13c73063-6ea3-4efd-8122-495fe2108f59
ef a7 4,4,2024-11-09T01:09,7861d8c6-8312-44a4-874f-3d589e30e6ee
ef a7 4,4,2024-11-12T04:25,3bc7a0fa-fdeb-4827-860c-416e45acdb61
TASK IMPOSSIBLE ,1,2024-11-12T01:26,fc07e671-4277-44e0-9cdf-d3b39ab3cffc
